Возраст,Есть_высшее_образование,Опыт_работы_лет,Инвестиции_тыс_леев,Есть_команда,Рискует,Инновационная_идея,Успешный_бизнес
56,0,8,139.2,1,1,1,1
46,0,29,45.7,0,0,1,0
32,1,4,35.0,0,0,0,0
60,1,0,196.4,1,0,0,1
25,1,18,103.3,0,1,0,0
38,0,9,52.2,0,1,0,0
56,1,11,199.3,1,1,1,1
36,0,23,193.1,0,1,1,1
40,0,14,111.7,1,0,0,0
28,1,26,176.5,0,1,0,0
28,1,21,37.7,1,1,1,1
41,0,23,55.8,1,1,1,1
53,0,8,140.1,1,1,0,0
57,1,19,169.3,1,1,0,1
41,1,16,171.3,0,0,0,1
20,1,29,80.9,1,0,1,1
39,0,16,177.6,1,1,1,1
19,0,25,170.2,1,0,1,1
41,0,19,187.1,0,1,0,0
47,0,11,157.1,1,1,0,1
55,0,29,133.8,0,0,1,1
19,0,6,116.1,1,0,1,1
38,1,1,74.5,0,1,0,0
50,0,2,188.0,0,1,1,1
29,0,16,194.7,1,1,1,1
39,0,4,56.8,0,0,0,0
42,1,16,61.1,1,1,1,1
44,0,23,97.1,1,1,0,0
59,0,16,89.7,1,1,0,0
45,1,26,198.9,0,0,0,0
33,0,16,35.2,0,1,0,0
32,0,1,3.6,1,1,0,0
20,0,1,98.8,1,0,0,0
54,0,27,35.8,0,1,0,1
24,0,21,73.3,1,1,1,1
38,1,22,148.8,1,0,0,1
26,1,4,144.2,1,1,0,1
56,1,0,61.6,0,0,1,0
35,0,0,108.5,0,0,1,0
21,0,18,101.8,0,1,1,1
42,0,29,127.3,1,1,0,1
31,1,1,50.1,1,1,1,1
26,0,20,118.0,1,1,0,0
43,0,11,195.8,0,0,0,0
19,1,25,97.3,1,1,0,1
37,0,5,181.2,1,0,0,1
45,1,22,86.9,1,1,1,1
24,1,3,70.0,1,1,1,1
25,1,22,129.0,0,1,0,1
52,0,10,133.8,0,0,0,0
31,0,23,172.8,1,1,0,1
34,0,26,46.0,0,1,1,1
53,0,16,99.8,0,1,0,0
57,0,30,114.4,1,1,0,0
21,0,5,153.7,1,0,1,0
19,0,23,8.7,0,1,1,1
23,1,4,198.9,1,0,0,1
59,0,19,94.0,0,0,1,1
21,1,1,55.9,1,0,1,1
46,0,5,176.7,0,0,0,0
35,0,21,149.5,1,0,1,1
43,0,10,190.6,0,0,0,0
51,1,30,66.2,0,1,1,1
27,1,15,110.6,0,0,0,1
53,1,15,114.5,1,0,0,1
31,1,0,196.1,0,0,0,1
48,0,8,15.1,0,1,1,0
32,1,27,61.1,1,1,0,1
25,0,26,38.2,1,0,1,1
31,0,5,53.7,0,1,0,0
40,1,15,97.1,0,0,0,0
57,1,28,74.5,1,0,1,1
38,1,2,78.9,1,1,0,1
33,1,19,168.8,1,0,0,1
35,1,27,186.0,1,1,1,1
41,1,26,14.1,1,1,0,1
43,1,3,41.8,0,0,0,0
42,1,18,134.2,1,0,0,0
58,0,25,71.7,0,1,0,1
46,1,2,50.8,0,0,1,0
32,1,30,59.1,0,0,1,1
18,0,18,64.5,1,0,0,1
42,1,19,169.7,0,1,1,1
24,0,6,27.3,0,1,0,0
26,0,19,141.8,1,0,1,1
41,1,8,110.6,0,1,0,0
18,0,0,59.3,0,1,0,0
25,0,7,84.0,1,1,0,0
41,0,6,51.2,0,1,0,0
28,0,17,122.3,0,1,0,0
34,1,7,16.3,0,0,0,0
25,0,0,1.0,1,0,1,1
52,1,10,125.6,1,0,0,1
52,0,27,38.9,1,1,1,1
50,0,24,14.2,0,1,0,1
22,0,24,79.4,0,0,1,1
59,0,17,10.2,1,1,1,1
56,1,22,177.3,0,0,1,1
58,1,30,5.5,0,0,0,0
45,0,29,115.8,1,0,0,0
