ЧасыУчебы,Оценка,Стипендия
7.5,97.0,1
19.0,77.5,1
14.6,93.9,1
12.0,89.5,1
3.1,59.8,0
3.1,92.2,1
1.2,8.8,0
17.3,19.6,0
12.0,4.5,0
14.2,32.5,1
0.4,38.9,0
19.4,27.1,1
16.6,82.9,1
4.2,35.7,0
3.6,28.1,0
3.7,54.3,0
6.1,14.1,0
10.5,80.2,1
8.6,7.5,0
5.8,98.7,1
12.2,77.2,1
2.8,19.9,0
5.8,0.6,0
7.3,81.5,1
9.1,70.7,1
15.7,72.9,1
4.0,77.1,0
10.3,7.4,0
11.8,35.8,1
0.9,11.6,0
12.2,86.3,1
3.4,62.3,1
1.3,33.1,0
19.0,6.4,0
19.3,31.1,0
16.2,32.5,1
6.1,73.0,1
2.0,63.8,0
13.7,88.7,1
8.8,47.2,0
2.4,12.0,0
9.9,71.3,1
0.7,76.1,0
18.2,56.1,1
5.2,77.1,1
13.3,49.4,1
6.2,52.3,0
10.4,42.8,0
10.9,2.5,0
3.7,10.8,0
